BIDS,CPPR,ContDays,LEN,LANE,WeatherDelayDays,CPI,ContSpend,PLR,PPI,ContAmnt,Client
11,100,400,4.8,1,83,193.396,809256,0.18,222.4,4496359.65,Client 1
8,100,240,0.11,4,26,193.396,809256,0.18,222.4,1478208.98,Client 1
6,100,289,3.01,1,29,193.396,809256,0.18,222.4,1738074.89,Client 1
8,101,355,2.67,1,67,193.396,809256,0.18,222.4,2269385.97,Client 1
5,102,252,0.26,1,15,193.396,809256,0.18,222.4,1940223.58,Client 1
4,104,130,1.07,1,4,193.396,809256,0.18,222.4,583929.42,Client 1
5,104,285,11.67,1,4,193.396,809256,0.18,222.4,4012024.06,Client 1
5,97,170,1.2,2,48,173.9,1116811,3.22,136.6,2952755.81,Client 1
2,104,160,2.89,2,6,173.9,1116811,3.22,136.6,999999.99,Client 1
6,104,120,7.37,2,6,173.9,1116811,3.22,136.6,1804963.0,Client 1
7,87,250,1.15,1,16,180.9,1161282,4.97,148.2,1334487.6,Client 1
5,102,180,5.59,4,6,180.9,1161282,4.97,148.2,1963280.13,Client 1
7,102,150,9.17,4,12,180.9,1161282,4.97,148.2,1943197.87,Client 1
7,104,150,2.71,8,5,180.9,1161282,4.97,148.2,997952.15,Client 1
7,97,149,0.67,2,4,184.682,1147951,5.02,166.8,786871.74,Client 1
7,97,210,2.57,1,21,184.682,1147951,5.02,166.8,2129206.81,Client 1
7,98,170,0.14,1,16,184.682,1147951,5.02,166.8,1841385.12,Client 1
8,100,179,0.52,1,5,184.682,1147951,5.02,166.8,1367483.55,Client 1
5,104,280,1.7,1,6,184.682,1147951,5.02,166.8,2597840.84,Client 1
3,104,150,1.2,1,7,184.682,1147951,5.02,166.8,2574897.44,Client 1
7,105,300,1.31,4,15,184.682,1147951,5.02,166.8,4046488.18,Client 1
7,108,170,4.24,2,4,184.682,1147951,5.02,166.8,1277957.54,Client 1
12,95,299,1.26,1,40,195.549,1077350,1.92,184.8,2307756.9,Client 1
6,96,150,1.3,1,85,195.549,1077350,1.92,184.8,2229617.68,Client 1
5,98,300,6.15,4,25,195.549,1077350,1.92,184.8,4574375.25,Client 1
4,100,160,0.64,1,1,195.549,1077350,1.92,184.8,1049260.49,Client 1
6,92,180,1.16,1,16,179.252,906543,0.16,195.5,1478061.44,Client 1
10,94,220,3.27,1,55,179.252,906543,0.16,195.5,1473322.41,Client 1
6,98,120,2.47,6,3,179.252,906543,0.16,195.5,370552.67,Client 1
8,98,250,0.1,2,34,179.252,906543,0.16,195.5,1918628.61,Client 1
4,101,110,0.38,1,2,179.252,906543,0.16,195.5,561181.11,Client 1
6,104,180,0.33,1,101,179.252,906543,0.16,195.5,2816638.99,Client 1
6,104,280,4.09,1,71,179.252,906543,0.16,195.5,2487194.27,Client 1
5,87,120,0.14,1,27,212.366,788332,0.1,205.3,542051.75,Client 1
5,92,225,2.23,1,19,212.366,788332,0.1,205.3,2933583.78,Client 1
8,102,150,0.6,1,18,212.366,788332,0.1,205.3,634885.54,Client 1
7,102,180,0.94,2,62,212.366,788332,0.1,205.3,2564886.38,Client 1
7,96,180,0.23,2,26,193.396,809256,0.18,222.4,998939.03,Client 1
7,98,140,0.93,1,10,193.396,809256,0.18,222.4,985713.42,Client 1
9,102,180,1.19,1,41,193.396,809256,0.18,222.4,817035.23,Client 1
3,54,255,11.0,4,21,163.1,991356,1.35,133.7,3915881.41,Client 1
2,90,115,7.17,2,7,173.9,1116811,3.22,136.6,801944.4,Client 1
2,96,100,1.52,4,7,173.9,1116811,3.22,136.6,1461857.26,Client 1
3,96,290,1.04,2,21,173.9,1116811,3.22,136.6,4022305.88,Client 1
3,96,150,12.21,5,3,173.9,1116811,3.22,136.6,2612103.59,Client 1
2,99,330,2.12,3,6,173.9,1116811,3.22,136.6,7392135.14,Client 1
2,108,320,12.23,6,6,173.9,1116811,3.22,136.6,7695245.06,Client 1
4,83,310,2.54,4,45,157.6,891497,1.13,137.0,3130155.65,Client 1
2,91,190,1.23,2,21,180.9,1161282,4.97,148.2,3975002.7,Client 1
6,96,100,6.9,4,3,179.252,906543,0.16,195.5,837837.0,Client 1
4,96,210,3.25,1,38,179.252,906543,0.16,195.5,4924444.44,Client 1
6,104,75,0.63,1,3,179.252,906543,0.16,195.5,787444.44,Client 1
7,48,270,1.97,4,22,212.366,788332,0.1,205.3,2898638.63,Client 1
6,85,170,3.45,2,13,212.366,788332,0.1,205.3,2585986.46,Client 1
6,87,90,1.77,3,23,212.366,788332,0.1,205.3,738184.46,Client 1
6,94,145,1.78,4,20,212.366,788332,0.1,205.3,1022228.75,Client 1
5,97,150,1.06,5,12,212.366,788332,0.1,205.3,1288505.56,Client 1
5,97,170,4.98,1,40,212.366,788332,0.1,205.3,3077847.53,Client 1
6,98,215,7.02,2,14,212.366,788332,0.1,205.3,1943725.08,Client 1
4,98,75,0.7,4,12,212.366,788332,0.1,205.3,356665.0,Client 1
6,98,120,11.48,4,60,212.366,788332,0.1,205.3,1563239.26,Client 1
5,100,250,0.28,6,20,212.366,788332,0.1,205.3,2377986.2,Client 1
6,100,190,0.52,1,153,212.366,788332,0.1,205.3,4738000.0,Client 1
6,100,240,2.11,1,27,212.366,788332,0.1,205.3,2948196.38,Client 1
6,100,180,2.74,2,85,212.366,788332,0.1,205.3,2322979.0,Client 1
5,101,550,0.42,2,87,212.366,788332,0.1,205.3,9444488.88,Client 1
6,102,90,17.04,4,4,212.366,788332,0.1,205.3,1230699.45,Client 1
1,102,330,15.6,2,96,212.366,788332,0.1,205.3,4780000.0,Client 1
6,104,280,1.43,1,83,212.366,788332,0.1,205.3,6617367.56,Client 1
3,104,110,0.42,1,1,212.366,788332,0.1,205.3,893647.47,Client 1
7,108,90,7.99,2,4,212.366,788332,0.1,205.3,356381.03,Client 1
5,38,225,0.93,1,26,193.396,809256,0.18,222.4,2925879.92,Client 1
6,64,140,0.53,2,32,193.396,809256,0.18,222.4,1445901.98,Client 1
5,91,75,4.83,2,2,193.396,809256,0.18,222.4,226486.36,Client 1
6,92,140,1.64,2,25,193.396,809256,0.18,222.4,1483989.51,Client 1
2,97,150,0.55,1,11,193.396,809256,0.18,222.4,442340.0,Client 1
5,98,225,1.47,4,9,193.396,809256,0.18,222.4,3434263.44,Client 1
3,98,180,5.44,2,25,193.396,809256,0.18,222.4,2633483.26,Client 1
3,98,225,0.32,1,19,193.396,809256,0.18,222.4,2364635.46,Client 1
5,98,120,0.64,4,7,193.396,809256,0.18,222.4,1444222.21,Client 1
5,98,200,0.34,4,58,193.396,809256,0.18,222.4,3614812.81,Client 1
4,98,160,1.97,2,51,193.396,809256,0.18,222.4,2028888.88,Client 1
7,98,165,3.16,2,83,193.396,809256,0.18,222.4,8289263.47,Client 1
5,98,160,6.02,4,16,193.396,809256,0.18,222.4,2097832.99,Client 1
5,98,105,0.52,1,21,193.396,809256,0.18,222.4,1604283.36,Client 1
6,98,200,0.67,5,14,193.396,809256,0.18,222.4,1845000.0,Client 1
5,99,180,0.27,4,10,193.396,809256,0.18,222.4,2275465.61,Client 1
5,102,240,9.86,4,8,193.396,809256,0.18,222.4,1421762.08,Client 1
8,102,290,1.9,1,46,193.396,809256,0.18,222.4,3180874.41,Client 1
4,44,200,2.21,1,25,163.1,991356,1.35,133.7,3875546.32,Client 2
3,66,220,2.95,1,25,163.1,991356,1.35,133.7,5723010.0,Client 2
3,84,150,4.61,2,47,163.1,991356,1.35,133.7,2773486.99,Client 2
2,86,190,1.41,1,69,163.1,991356,1.35,133.7,6382649.0,Client 2
3,90,200,1.24,4,73,163.1,991356,1.35,133.7,6781059.24,Client 2
4,72,150,1.12,4,20,173.9,1116811,3.22,136.6,4482464.16,Client 2
3,81,180,4.23,5,27,173.9,1116811,3.22,136.6,10686653.0,Client 2
2,81,174,1.52,4,72,173.9,1116811,3.22,136.6,6653701.0,Client 2
2,81,90,1.37,4,4,173.9,1116811,3.22,136.6,1893000.0,Client 2
3,88,180,4.21,2,29,173.9,1116811,3.22,136.6,1935414.03,Client 2
3,89,150,2.4,4,79,173.9,1116811,3.22,136.6,4595937.0,Client 2
1,90,140,1.06,6,5,173.9,1116811,3.22,136.6,3905015.8,Client 2
3,94,175,3.06,2,22,173.9,1116811,3.22,136.6,4978217.65,Client 2
3,96,208,0.49,2,90,173.9,1116811,3.22,136.6,2324486.68,Client 2
3,97,240,6.38,4,5,173.9,1116811,3.22,136.6,4488989.84,Client 2
1,98,120,1.26,4,6,173.9,1116811,3.22,136.6,1823000.0,Client 2
3,100,60,0.9,4,2,173.9,1116811,3.22,136.6,648849.0,Client 2
2,104,100,1.08,2,2,173.9,1116811,3.22,136.6,1219031.6,Client 2
3,75,300,2.44,6,35,180.9,1161282,4.97,148.2,5584137.53,Client 2
1,77,140,3.0,2,17,180.9,1161282,4.97,148.2,6396009.0,Client 2
2,83,175,0.24,4,20,180.9,1161282,4.97,148.2,5290000.0,Client 2
3,90,270,5.77,4,65,180.9,1161282,4.97,148.2,7078566.58,Client 2
3,92,180,8.75,2,17,180.9,1161282,4.97,148.2,4079905.2,Client 2
2,92,150,2.29,1,18,180.9,1161282,4.97,148.2,4976073.18,Client 2
1,95,130,1.47,3,12,180.9,1161282,4.97,148.2,5979436.0,Client 2
1,95,210,3.62,1,20,180.9,1161282,4.97,148.2,10144811.0,Client 2
2,96,90,5.02,1,3,180.9,1161282,4.97,148.2,2973331.79,Client 2
2,96,150,6.9,1,6,180.9,1161282,4.97,148.2,7613641.0,Client 2
2,98,150,9.18,2,11,180.9,1161282,4.97,148.2,6257470.7,Client 2
2,98,100,1.85,6,15,180.9,1161282,4.97,148.2,4343058.09,Client 2
2,98,60,1.8,1,2,180.9,1161282,4.97,148.2,2096784.0,Client 2
2,98,150,5.45,1,5,180.9,1161282,4.97,148.2,4777932.0,Client 2
2,98,200,4.57,4,15,180.9,1161282,4.97,148.2,8318997.3,Client 2
1,99,150,9.27,2,22,180.9,1161282,4.97,148.2,8895013.0,Client 2
1,100,240,1.4,2,22,180.9,1161282,4.97,148.2,9182366.0,Client 2
3,100,310,4.96,1,9,180.9,1161282,4.97,148.2,9113000.0,Client 2
3,103,75,1.85,4,4,180.9,1161282,4.97,148.2,1561128.95,Client 2
