scenario,round,strategy,lr,local_epochs,test_mape,test_rmse,test_mae,test_mpe,test_nrmse,test_r2,val_mape,val_rmse,val_mae,val_r2,seed
C_MAS_FL_LLM,23,perf_only,0.0005,20,0.5238144,1557059.5,1123653.8,0.08271246,0.17466776,0.42949873208999634,0.38020262,1846255.1,1103548.4,0.4643661379814148,20
C_MAS_FL_LLM,24,perf_only,0.0005,20,0.5263622,1533025.5,1106383.0,0.13006449,0.17197168,0.4469747543334961,0.3887347,1859320.1,1115063.0,0.4567584991455078,20
C_MAS_FL_LLM,25,perf_only,0.0005,20,0.5341445,1506503.8,1099025.0,0.14822997,0.16899651,0.46594417095184326,0.40004936,1850203.5,1108315.4,0.4620727300643921,20
C_MAS_FL_LLM,26,perf_only,0.0005,20,0.5325478,1511089.9,1105715.8,0.16042787,0.16951098,0.4626876711845398,0.40545455,1829768.1,1100416.4,0.4738897681236267,20
C_MAS_FL_LLM,27,perf_only,0.0004,20,0.5092463,1524318.6,1113229.6,0.107355826,0.17099495,0.4532387852668762,0.3997685,1834645.6,1103042.9,0.4710812568664551,20
C_MAS_FL_LLM,28,perf_only,0.0004,20,0.51517427,1533407.4,1118264.9,0.118411,0.17201452,0.44669926166534424,0.39097273,1876227.9,1114537.2,0.44683361053466797,20
C_MAS_FL_LLM,29,perf_only,0.0005,20,0.52513206,1527077.4,1122056.1,0.13828763,0.17130442,0.45125794410705566,0.4261829,1891617.0,1155826.2,0.4377220869064331,20
C_MAS_FL_LLM,30,perf_only,0.0005,20,0.53896874,1567411.5,1134050.4,0.1461804,0.17582902,0.42188769578933716,0.41692823,1931464.5,1179318.0,0.4137834310531616,20
C_MAS_FL_LLM,31,perf_only,0.0005,20,0.545599,1556535.4,1133516.2,0.16455899,0.17460896,0.4298827052116394,0.4231802,1901816.8,1154653.1,0.4316420555114746,20
C_MAS_FL_LLM,32,perf_only,0.0005,20,0.54469043,1566621.0,1152059.2,0.14867535,0.17574035,0.4224705696105957,0.4083921,1900741.2,1138826.1,0.43228471279144287,20
B_FedAvg,1,size_only,0.0005,20,0.99997,3595261.0,2945745.5,-0.99997,0.40330905,-2.0416347980499268,0.9999809,3907211.5,2983858.0,-1.3989348411560059,42
B_FedAvg,2,size_only,0.0005,20,0.99986136,3594423.2,2945209.2,-0.99986136,0.40321508,-2.040217399597168,0.999905,3906260.2,2983383.0,-1.3977665901184082,42
B_FedAvg,3,size_only,0.0005,20,0.9996289,3592808.5,2944115.5,-0.9996289,0.40303394,-2.0374863147735596,0.9997094,3904622.2,2982410.8,-1.395756483078003,42
B_FedAvg,4,size_only,0.0005,20,0.9991776,3590151.0,2942176.8,-0.9991776,0.40273583,-2.032994508743286,0.9992598,3902319.5,2980678.8,-1.3929314613342285,42
B_FedAvg,5,size_only,0.0005,20,0.99841017,3586233.8,2939139.8,-0.99841017,0.4022964,-2.0263795852661133,0.99842286,3898780.8,2977722.0,-1.3885934352874756,42
