BIDS,CPPR,ContDays,LEN,LANE,WeatherDelayDays,CPI,ContSpend,PLR,PPI,ContAmnt,Client,source_index
14,102,180,0.3,1,20,179.252,906543,0.16,195.5,572802.23,Client 2,326
4,103,60,0.5,1,2,179.252,906543,0.16,195.5,454745.0,Client 2,328
5,103,220,2.96,4,4,179.252,906543,0.16,195.5,936007.37,Client 2,329
3,89,150,2.74,2,10,212.366,788332,0.1,205.3,4205548.56,Client 2,331
4,91,210,10.41,4,15,212.366,788332,0.1,205.3,2151320.52,Client 2,333
4,92,100,0.04,1,6,212.366,788332,0.1,205.3,1503953.65,Client 2,335
2,93,120,14.2,2,9,212.366,788332,0.1,205.3,1147916.75,Client 2,336
6,95,120,0.05,2,18,212.366,788332,0.1,205.3,1731113.89,Client 2,338
4,96,150,0.41,2,4,212.366,788332,0.1,205.3,2454825.43,Client 2,339
2,98,200,6.0,4,48,212.366,788332,0.1,205.3,9258899.99,Client 2,340
3,98,140,11.18,4,13,212.366,788332,0.1,205.3,2245590.67,Client 2,341
3,98,210,13.34,6,12,212.366,788332,0.1,205.3,3045258.0,Client 2,342
3,98,240,0.72,3,57,212.366,788332,0.1,205.3,11188532.32,Client 2,343
3,100,210,2.21,2,47,212.366,788332,0.1,205.3,3852159.09,Client 2,344
4,100,100,2.54,1,6,212.366,788332,0.1,205.3,1159374.74,Client 2,345
3,101,240,2.31,6,36,212.366,788332,0.1,205.3,2704763.44,Client 2,346
4,104,180,2.86,2,3,212.366,788332,0.1,205.3,2229983.75,Client 2,347
9,82,420,2.95,3,64,193.396,809256,0.18,222.4,3880695.18,Client 2,348
5,92,260,2.28,2,26,193.396,809256,0.18,222.4,10827009.54,Client 2,349
4,94,75,1.89,4,1,193.396,809256,0.18,222.4,775220.0,Client 2,351
4,94,90,9.9,4,1,193.396,809256,0.18,222.4,1458385.82,Client 2,354
3,96,130,2.26,3,4,193.396,809256,0.18,222.4,294798.0,Client 2,356
3,96,150,5.64,2,9,193.396,809256,0.18,222.4,858000.0,Client 2,357
5,96,240,3.46,4,14,193.396,809256,0.18,222.4,2771667.17,Client 2,359
4,98,165,3.95,6,26,193.396,809256,0.18,222.4,940930.0,Client 2,361
3,98,200,2.22,4,2,193.396,809256,0.18,222.4,831478.0,Client 2,362
4,100,150,14.52,2,2,193.396,809256,0.18,222.4,1590496.77,Client 2,364
3,102,170,4.55,4,6,193.396,809256,0.18,222.4,5280012.96,Client 2,366
3,104,165,0.33,2,7,193.396,809256,0.18,222.4,1648348.37,Client 2,367
2,83,195,2.56,1,106,163.1,991356,1.35,133.7,2978726.0,Client 2,368
2,86,395,0.91,1,280,163.1,991356,1.35,133.7,5309754.66,Client 2,369
2,89,55,0.59,4,6,163.1,991356,1.35,133.7,740953.0,Client 2,371
3,89,375,5.88,1,31,163.1,991356,1.35,133.7,5523505.19,Client 2,372
3,94,95,3.83,1,15,163.1,991356,1.35,133.7,848973.86,Client 2,373
3,96,125,8.0,1,14,163.1,991356,1.35,133.7,994943.67,Client 2,374
3,82,140,5.87,4,43,173.9,1116811,3.22,136.6,1583955.71,Client 2,375
2,85,135,1.7,4,15,173.9,1116811,3.22,136.6,3351295.0,Client 2,376
2,91,210,1.74,6,16,173.9,1116811,3.22,136.6,2971212.0,Client 2,378
2,92,121,1.32,5,1,173.9,1116811,3.22,136.6,1929525.0,Client 2,379
2,92,120,9.69,2,12,173.9,1116811,3.22,136.6,2131234.56,Client 2,380
2,93,95,0.92,4,4,173.9,1116811,3.22,136.6,983982.48,Client 2,381
3,96,119,7.27,1,118,173.9,1116811,3.22,136.6,2094000.0,Client 2,382
2,97,205,3.94,4,14,173.9,1116811,3.22,136.6,4191498.5,Client 2,383
1,97,75,2.5,3,3,173.9,1116811,3.22,136.6,425000.0,Client 2,384
2,98,254,0.83,6,73,173.9,1116811,3.22,136.6,4831461.52,Client 2,385
2,100,285,1.84,1,38,173.9,1116811,3.22,136.6,6484875.25,Client 2,387
4,104,225,0.4,3,18,173.9,1116811,3.22,136.6,4058723.91,Client 2,388
3,53,255,1.12,1,18,157.6,891497,1.13,137.0,3844821.85,Client 2,389
2,87,90,2.65,1,25,157.6,891497,1.13,137.0,745765.0,Client 2,391
6,94,440,2.66,1,74,157.6,891497,1.13,137.0,5927186.35,Client 2,392
3,91,105,1.02,4,4,180.9,1161282,4.97,148.2,2052696.74,Client 2,394
2,93,190,0.66,5,47,180.9,1161282,4.97,148.2,3093000.5,Client 2,395
3,97,155,1.94,4,3,180.9,1161282,4.97,148.2,5598008.6,Client 2,397
3,97,180,2.97,6,5,180.9,1161282,4.97,148.2,5845318.0,Client 2,398
3,98,130,2.33,6,10,180.9,1161282,4.97,148.2,2125000.0,Client 2,399
2,100,222,4.0,5,16,180.9,1161282,4.97,148.2,7365422.48,Client 2,400
2,100,310,12.44,1,27,180.9,1161282,4.97,148.2,4943000.0,Client 2,401
3,100,177,0.59,6,27,180.9,1161282,4.97,148.2,7215041.0,Client 2,402
2,100,205,4.37,4,33,180.9,1161282,4.97,148.2,5249224.38,Client 2,403
3,78,145,1.02,1,28,184.682,1147951,5.02,166.8,4918543.01,Client 2,404
3,96,70,0.12,2,4,184.682,1147951,5.02,166.8,720718.0,Client 2,405
2,97,85,0.46,1,26,184.682,1147951,5.02,166.8,2099099.0,Client 2,406
4,98,115,2.04,1,19,184.682,1147951,5.02,166.8,2735106.0,Client 2,408
3,102,220,0.76,1,21,184.682,1147951,5.02,166.8,9645412.51,Client 2,412
2,104,150,0.0,1,2,184.682,1147951,5.02,166.8,2674522.0,Client 2,414
3,88,362,0.22,1,50,195.549,1077350,1.92,184.8,9750000.0,Client 2,417
3,90,305,3.69,4,100,195.549,1077350,1.92,184.8,5049714.49,Client 2,418
5,94,77,3.48,2,11,195.549,1077350,1.92,184.8,334244.57,Client 2,419
2,95,140,1.06,4,35,195.549,1077350,1.92,184.8,4284453.36,Client 2,420
2,95,322,1.36,4,90,195.549,1077350,1.92,184.8,5966378.74,Client 2,421
3,95,185,1.0,1,100,195.549,1077350,1.92,184.8,6764530.2,Client 2,422
3,100,140,0.4,2,15,195.549,1077350,1.92,184.8,2128555.81,Client 2,425
3,100,330,0.33,2,128,195.549,1077350,1.92,184.8,5992194.14,Client 2,426
4,102,240,12.25,1,43,195.549,1077350,1.92,184.8,3260604.56,Client 2,428
3,88,230,1.53,1,56,179.252,906543,0.16,195.5,2213091.92,Client 2,429
3,94,105,7.02,2,1,179.252,906543,0.16,195.5,986041.16,Client 2,430
4,95,275,0.44,1,29,179.252,906543,0.16,195.5,2996527.38,Client 2,431
4,97,230,5.97,2,38,179.252,906543,0.16,195.5,3339732.07,Client 2,432
2,98,260,7.41,2,37,179.252,906543,0.16,195.5,4128747.7,Client 2,433
3,98,60,5.16,2,6,179.252,906543,0.16,195.5,168376.79,Client 2,434
4,100,155,5.4,1,14,179.252,906543,0.16,195.5,1468709.1,Client 2,436
4,100,290,1.27,4,74,179.252,906543,0.16,195.5,5745323.46,Client 2,438
4,101,80,1.19,4,22,179.252,906543,0.16,195.5,348843.14,Client 2,439
2,104,110,1.02,1,13,179.252,906543,0.16,195.5,1679656.72,Client 2,440
3,91,370,4.21,6,42,212.366,788332,0.1,205.3,3997651.25,Client 2,442
3,95,270,1.24,4,269,212.366,788332,0.1,205.3,6483238.08,Client 2,443
4,96,218,1.64,4,63,212.366,788332,0.1,205.3,4263052.2,Client 2,444
4,97,264,2.64,3,91,212.366,788332,0.1,205.3,4646325.17,Client 2,445
4,98,215,2.06,1,38,212.366,788332,0.1,205.3,1864219.32,Client 2,448
4,100,345,10.13,4,37,212.366,788332,0.1,205.3,9177407.16,Client 2,449
2,90,145,4.45,1,8,193.396,809256,0.18,222.4,1529351.2,Client 2,451
1,94,205,5.69,2,28,193.396,809256,0.18,222.4,263000.0,Client 2,452
3,96,185,7.58,4,10,193.396,809256,0.18,222.4,3334624.32,Client 2,455
4,96,191,0.31,1,16,193.396,809256,0.18,222.4,2814287.33,Client 2,456
3,97,215,11.46,4,43,193.396,809256,0.18,222.4,2997002.49,Client 2,457
3,97,70,1.84,4,5,193.396,809256,0.18,222.4,220120.78,Client 2,458
5,98,120,1.98,4,10,193.396,809256,0.18,222.4,969088.83,Client 2,459
3,98,105,2.44,1,20,193.396,809256,0.18,222.4,850341.85,Client 2,460
2,99,355,1.13,3,39,193.396,809256,0.18,222.4,7257192.4,Client 2,463
