round,strategy,client_id,n_samples,train_loss,val_mape,val_rmse,val_mae,val_mpe,aggregation_weight
16,size_only,Client 3,140,186.38860015869142,0.8330272,1897665.4,1631159.5,-0.8330272,0.319634703196347
17,size_only,Client 1,148,198.5358428955078,0.7638167,3032689.5,2429129.2,-0.7638167,0.3378995433789954
17,size_only,Client 2,150,197.3246307373047,0.7131498,3522316.5,2815925.8,-0.7131498,0.3424657534246575
17,size_only,Client 3,140,128.43700103759767,0.75795203,1753537.8,1494626.5,-0.75795203,0.319634703196347
18,size_only,Client 1,148,135.849755859375,0.7021805,2705008.0,2172039.2,-0.666984,0.3378995433789954
18,size_only,Client 2,150,140.24708251953126,0.6252179,3236934.8,2503437.0,-0.6252179,0.3424657534246575
18,size_only,Client 3,140,85.08391952514648,0.6147097,1495920.9,1230417.6,-0.61091197,0.319634703196347
19,size_only,Client 1,148,97.78331680297852,0.60467786,2344651.0,1827382.5,-0.53320736,0.3378995433789954
19,size_only,Client 2,150,103.42505493164063,0.52468073,2903615.5,2139723.5,-0.51798135,0.3424657534246575
19,size_only,Client 3,140,53.38401412963867,0.48442787,1326579.5,1020985.9,-0.4136306,0.319634703196347
20,size_only,Client 1,148,70.24118347167969,0.5252925,2082174.9,1551294.5,-0.40232816,0.3378995433789954
20,size_only,Client 2,150,85.72443466186523,0.43128836,2537416.2,1790913.6,-0.37736708,0.3424657534246575
20,size_only,Client 3,140,36.38401832580566,0.36359775,1091366.2,805923.8,-0.26506698,0.319634703196347
